Spectrum	Date	Time	H2O% 191C	CO ppm 191C (1of2)	CO% 191C (2of2)	CO2% 191C	Temp (C)	Pressure (Atm)	H2O% 191C resid	CO ppm 191C (1of2) resid	CO% 191C (2of2) resid	CO2% 191C resid	Igram DC	Igram PP	phase Angle	laser PP	laser DC	Bad Scan counter	Centerburst Location	Linearizer Check	SNR 2500	sBeam @ 2500	
N/A	12/19/2016	16:49:50.347	0.043224	8768.542207	0.998016	0.464187	190.194504	1.009423	0.043307	135.528058	0.012700	0.896884	2.088758	7.140768	86.823532	4.862745	-5.019608	1.000000	1126.695312	0.003218	1809.824585	0.736964
N/A	12/19/2016	16:50:09.945	0.037154	8709.880367	0.996533	0.489704	190.231995	1.009457	0.042345	136.190993	0.012752	0.896678	2.091402	7.142593	86.117645	4.941176	-5.019608	1.000000	1126.631104	0.003183	1389.553711	0.737762
N/A	12/19/2016	16:50:29.567	0.038751	8738.623747	1.001568	0.477268	190.194504	1.009305	0.042693	137.698305	0.012845	0.898227	2.095488	7.144392	86.823532	4.901961	-5.019608	1.000000	1126.651245	0.003236	2336.113281	0.738111
N/A	12/19/2016	16:50:49.210	0.044155	8778.106227	1.003356	0.480815	190.199860	1.009322	0.041190	137.408688	0.012878	0.902545	2.091011	7.142336	86.823532	4.901961	-5.019608	1.000000	1126.748169	0.003324	1530.613525	0.736967
N/A	12/19/2016	16:51:08.814	0.037530	8777.623427	1.005241	0.479737	190.210571	1.009474	0.041015	135.913738	0.012782	0.901698	2.093053	7.143742	86.823532	4.941176	-5.019608	1.000000	1126.496338	0.003202	1586.209351	0.737358
N/A	12/19/2016	16:51:28.433	0.044106	8787.801310	1.008526	0.497271	190.242706	1.009390	0.040150	138.799322	0.012780	0.901654	2.090281	7.142809	87.529411	4.823529	-5.019608	1.000000	1126.609985	0.003307	1776.905884	0.737081
N/A	12/19/2016	16:51:48.090	0.041272	8755.156238	1.009233	0.482541	190.210571	1.009373	0.038822	136.615103	0.012709	0.904473	2.092751	7.144028	86.823532	4.862745	-5.019608	1.000000	1126.577637	0.003278	1786.192017	0.736857
N/A	12/19/2016	16:52:07.759	0.036317	8804.140643	1.007587	0.487360	190.210571	1.009390	0.040126	139.658863	0.012964	0.902419	2.093925	7.145193	86.823532	4.862745	-5.019608	1.000000	1126.612549	0.003147	1579.966797	0.737008
N/A	12/19/2016	16:52:27.304	0.048678	8834.168205	1.010603	0.472418	190.237350	1.009423	0.038854	137.931307	0.012908	0.903789	2.095394	7.145912	86.117645	4.941176	-5.019608	1.000000	1126.616089	0.003300	1488.970337	0.737881
N/A	12/19/2016	16:52:46.954	0.043437	8807.818420	1.011207	0.471839	190.173080	1.009356	0.037374	137.066839	0.012715	0.902381	2.092384	7.144783	86.823532	4.862745	-5.019608	1.000000	1126.534790	0.003192	1343.404419	0.736979
